ID klienta;Segment;Data dołączenia;Preferowany kanał;Wizyty (90 dni);Średni koszyk (PLN);NPS;Komentarz NPS;Churn (90d)
250;Bronze;2023-01-02;stacjonarny;4;50.05;55;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
251;Silver;2023-03-11;stacjonarny;7;94.61;56;Świeże pieczywo tylko do 14:00, potem nic.;Nie
252;Bronze;2023-08-09;online;0;44.28;-20;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
253;Bronze;2025-10-02;stacjonarny;3;69.4;-10;Brak wegańskich opcji w mięsie roślinnym.;Nie
254;Bronze;2022-04-05;stacjonarny;2;49.85;29;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
255;Silver;2022-05-16;stacjonarny;4;121.49;98;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
256;Bronze;2023-07-20;online;2;17.63;-10;Potrzeba więcej parkingu.;Tak
257;Bronze;2022-12-17;stacjonarny;4;37.5;-30;Bardzo długie kolejki w piątek po 17:00.;Tak
258;Bronze;2025-09-09;online;3;52.29;-10;Brak wegańskich opcji w mięsie roślinnym.;Tak
259;Bronze;2025-10-04;stacjonarny;4;59.73;33;;Tak
260;Bronze;2022-06-11;stacjonarny;1;42.16;0;;Nie
261;Bronze;2022-02-10;q-commerce;2;33.23;-10;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
262;Silver;2025-02-19;online;7;94.75;28;Kierowca Q-com pomylił adres.;Tak
263;Bronze;2022-06-24;stacjonarny;2;47.85;-30;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
264;Bronze;2023-10-17;stacjonarny;3;49.94;100;Świeże pieczywo tylko do 14:00, potem nic.;Nie
265;Bronze;2023-10-09;q-commerce;1;38.17;30;Bardzo długie kolejki w piątek po 17:00.;Tak
266;Bronze;2024-08-06;online;1;33.71;10;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
267;Bronze;2023-11-20;stacjonarny;0;39.97;27;;Nie
268;Bronze;2024-09-12;stacjonarny;0;43.14;29;Brak wegańskich opcji w mięsie roślinnym.;Tak
269;Silver;2023-08-24;stacjonarny;10;106.04;35;Aplikacja mobilna mało intuicyjna.;Nie
270;Silver;2023-12-21;q-commerce;6;71.35;19;Kierowca Q-com pomylił adres.;Nie
271;Bronze;2024-04-10;stacjonarny;4;35.55;-30;;Tak
272;Gold;2025-02-27;stacjonarny;28;226.44;11;;Nie
273;Bronze;2022-09-09;stacjonarny;0;38.21;0;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
274;Gold;2025-11-26;stacjonarny;19;172.39;27;;Nie
275;Silver;2023-02-11;stacjonarny;9;90.77;26;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
276;Silver;2024-08-22;q-commerce;7;94.28;45;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
277;Bronze;2023-11-18;stacjonarny;2;51.92;27;;Nie
278;Bronze;2022-09-16;stacjonarny;4;48.53;59;Potrzeba więcej parkingu.;Tak
279;Silver;2025-01-20;q-commerce;7;96.07;20;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
280;Gold;2025-08-01;stacjonarny;11;171.25;47;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
281;Gold;2024-09-14;online;13;216.53;-31;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
282;Silver;2022-04-25;stacjonarny;5;105.84;50;Aplikacja mobilna mało intuicyjna.;Nie
283;Silver;2024-05-16;stacjonarny;7;116.21;-3;;Nie
284;Silver;2023-09-02;stacjonarny;8;106.96;16;Przeceny end-of-day super, ale rzadko widoczne.;Nie
285;Silver;2022-09-27;online;8;71.17;71;;Nie
286;Silver;2023-07-11;stacjonarny;4;81.87;33;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
287;Silver;2024-11-18;stacjonarny;7;53.45;-9;Kierowca Q-com pomylił adres.;Nie
288;Silver;2024-09-06;online;9;62.95;55;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
289;Silver;2022-03-02;online;8;86.93;32;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
290;Bronze;2023-05-04;stacjonarny;4;23.63;10;;Nie
291;Silver;2023-01-11;online;7;96.94;73;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
292;Silver;2023-11-02;online;6;108.89;0;Przeceny end-of-day super, ale rzadko widoczne.;Nie
293;Bronze;2025-10-04;stacjonarny;3;48.11;15;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Tak
294;Silver;2022-06-01;stacjonarny;9;127.76;-3;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
295;Gold;2022-07-22;q-commerce;12;120.08;52;Promocje są dobre, ale potem braki na półce.;Nie
296;Bronze;2024-05-21;q-commerce;0;58.74;26;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
297;Bronze;2024-11-15;stacjonarny;1;41.8;-10;Często psuje się terminal BLIK.;Nie
298;Silver;2023-09-01;q-commerce;4;54.84;-34;Potrzeba więcej parkingu.;Nie
299;Bronze;2023-12-21;online;2;29.45;26;Potrzeba więcej parkingu.;Tak
300;Bronze;2022-06-24;stacjonarny;4;33.83;0;;Nie
301;Bronze;2023-02-14;stacjonarny;3;51.71;-20;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
302;Silver;2022-10-25;q-commerce;8;108.85;34;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
303;Bronze;2023-01-10;stacjonarny;3;50.87;-30;Świetna jakość mięsa, ale wieczorem często brakuje.;Tak
304;Bronze;2024-12-27;stacjonarny;2;54.61;10;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
305;Silver;2024-01-01;online;6;72.82;68;Świeże pieczywo tylko do 14:00, potem nic.;Nie
306;Silver;2022-04-05;online;4;108.95;53;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
307;Bronze;2025-05-07;online;1;23.43;-30;Brak wegańskich opcji w mięsie roślinnym.;Nie
308;Silver;2022-10-06;stacjonarny;10;74.74;40;Kierowca Q-com pomylił adres.;Nie
309;Bronze;2022-03-25;q-commerce;3;58.79;35;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
310;Bronze;2024-02-27;q-commerce;1;53.65;-30;Promocje są dobre, ale potem braki na półce.;Tak
311;Bronze;2025-03-02;stacjonarny;0;16.38;0;Przeceny end-of-day super, ale rzadko widoczne.;Tak
312;Bronze;2023-11-20;stacjonarny;2;41.31;17;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
313;Silver;2023-08-22;stacjonarny;6;100.11;27;Promocje są dobre, ale potem braki na półce.;Nie
314;Bronze;2023-09-25;stacjonarny;1;41.74;-10;;Tak
315;Bronze;2023-03-04;stacjonarny;0;69.17;-10;Aplikacja mobilna mało intuicyjna.;Tak
316;Bronze;2025-12-09;stacjonarny;1;44.42;-20;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
317;Bronze;2023-01-19;stacjonarny;3;46.21;57;;Tak
318;Bronze;2023-02-16;online;0;62.54;6;Aplikacja mobilna mało intuicyjna.;Nie
319;Bronze;2025-07-02;online;2;48.22;20;Świetna jakość mięsa, ale wieczorem często brakuje.;Tak
320;Bronze;2025-11-23;stacjonarny;3;49.7;-20;Często psuje się terminal BLIK.;Tak
321;Gold;2024-02-02;stacjonarny;26;141.73;73;Często psuje się terminal BLIK.;Nie
322;Silver;2025-05-15;stacjonarny;9;61.6;7;Aplikacja mobilna mało intuicyjna.;Nie
323;Bronze;2025-04-13;stacjonarny;4;48.06;23;Brak wegańskich opcji w mięsie roślinnym.;Nie
324;Bronze;2023-12-14;q-commerce;2;61.52;4;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
325;Bronze;2023-01-18;stacjonarny;4;57.1;34;Przeceny end-of-day super, ale rzadko widoczne.;Tak
326;Bronze;2023-04-14;q-commerce;0;34.86;-24;;Tak
327;Bronze;2022-04-14;stacjonarny;4;32.89;23;Promocje są dobre, ale potem braki na półce.;Nie
328;Silver;2024-09-11;stacjonarny;5;108.28;45;Brak wegańskich opcji w mięsie roślinnym.;Nie
329;Silver;2022-05-27;stacjonarny;5;83.27;-6;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
330;Gold;2025-08-06;stacjonarny;19;195.22;-9;Aplikacja mobilna mało intuicyjna.;Nie
331;Silver;2023-02-11;q-commerce;7;98.01;13;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
332;Gold;2024-11-13;stacjonarny;20;199.97;50;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
333;Bronze;2024-08-23;stacjonarny;3;56.22;35;;Nie
334;Bronze;2022-09-23;stacjonarny;3;65.24;0;Promocje są dobre, ale potem braki na półce.;Tak
335;Silver;2024-12-21;stacjonarny;8;111.42;45;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
336;Bronze;2023-09-22;stacjonarny;4;49.67;20;Świeże pieczywo tylko do 14:00, potem nic.;Tak
337;Silver;2023-03-09;stacjonarny;6;64.13;-7;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
338;Silver;2024-05-10;q-commerce;10;107.14;-29;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
339;Silver;2025-09-19;online;10;75.53;-16;;Nie
340;Bronze;2022-11-15;q-commerce;1;46.82;53;;Tak
341;Bronze;2024-11-04;stacjonarny;1;35.28;-1;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
342;Bronze;2024-11-19;stacjonarny;4;45.46;0;Promocje są dobre, ale potem braki na półce.;Nie
343;Silver;2023-01-11;online;8;35.08;68;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
344;Bronze;2023-11-26;stacjonarny;4;47.87;-9;;Nie
345;Bronze;2024-07-04;stacjonarny;3;46.02;-30;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Tak
346;Gold;2023-12-04;stacjonarny;18;146.69;-29;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
347;Silver;2025-02-14;stacjonarny;7;133.57;7;Świeże pieczywo tylko do 14:00, potem nic.;Nie
348;Silver;2025-08-18;stacjonarny;9;75.4;-22;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
349;Gold;2023-08-12;stacjonarny;13;174.4;40;Kierowca Q-com pomylił adres.;Nie
350;Silver;2025-02-09;online;10;88.27;58;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
351;Bronze;2025-05-22;q-commerce;3;51.4;38;;Nie
352;Bronze;2025-02-03;stacjonarny;4;42.08;-10;Potrzeba więcej parkingu.;Nie
353;Bronze;2023-05-04;q-commerce;2;25.5;40;Świeże pieczywo tylko do 14:00, potem nic.;Nie
354;Gold;2023-12-28;stacjonarny;21;123.89;34;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
355;Silver;2024-05-15;stacjonarny;8;62.8;54;Brak wegańskich opcji w mięsie roślinnym.;Nie
356;Bronze;2024-06-09;online;3;49.36;-2;;Nie
357;Silver;2023-05-05;stacjonarny;6;111.4;89;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
358;Bronze;2023-10-03;stacjonarny;4;43.78;37;Aplikacja mobilna mało intuicyjna.;Tak
359;Bronze;2025-11-13;stacjonarny;4;53.06;65;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
360;Bronze;2022-11-16;stacjonarny;4;67.15;-27;Bardzo długie kolejki w piątek po 17:00.;Nie
361;Silver;2023-07-19;stacjonarny;6;97.52;59;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
362;Bronze;2024-10-07;online;2;51.84;-30;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
363;Silver;2024-03-10;stacjonarny;7;81.58;40;Aplikacja mobilna mało intuicyjna.;Tak
364;Bronze;2023-07-25;online;2;38.67;8;Często psuje się terminal BLIK.;Nie
365;Silver;2023-06-22;online;6;111.37;0;;Nie
366;Silver;2022-12-28;stacjonarny;7;43.6;-7;;Nie
367;Silver;2023-07-25;online;8;99.59;5;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
368;Silver;2024-10-01;stacjonarny;7;87.93;41;Przeceny end-of-day super, ale rzadko widoczne.;Nie
369;Silver;2023-09-22;stacjonarny;7;92.72;36;;Nie
370;Bronze;2022-08-25;online;2;30.65;10;Aplikacja mobilna mało intuicyjna.;Tak
371;Gold;2024-12-11;stacjonarny;21;177.25;53;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
372;Bronze;2024-03-11;stacjonarny;0;44.76;-30;Świeże pieczywo tylko do 14:00, potem nic.;Nie
373;Bronze;2023-07-10;stacjonarny;2;23.76;21;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
374;Gold;2024-07-02;stacjonarny;17;128.67;18;;Nie
375;Bronze;2023-06-20;stacjonarny;2;37.34;-10;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
376;Silver;2024-04-26;stacjonarny;5;74.43;24;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
377;Bronze;2023-01-20;stacjonarny;3;58.61;-18;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
378;Silver;2025-06-03;online;10;112.42;45;Często psuje się terminal BLIK.;Nie
379;Bronze;2023-12-19;stacjonarny;2;28.29;-6;Świeże pieczywo tylko do 14:00, potem nic.;Nie
380;Bronze;2025-02-05;q-commerce;2;51.59;-4;Bardzo długie kolejki w piątek po 17:00.;Tak
381;Bronze;2022-09-20;online;3;62.64;33;Potrzeba więcej parkingu.;Tak
382;Gold;2023-05-09;q-commerce;17;189.24;2;Aplikacja mobilna mało intuicyjna.;Nie
383;Bronze;2022-04-27;online;2;74.85;24;;Nie
384;Bronze;2023-03-07;q-commerce;4;48.94;64;;Tak
385;Bronze;2022-05-25;stacjonarny;0;37.58;62;;Nie
386;Silver;2024-04-28;q-commerce;5;72.3;53;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
387;Silver;2024-12-03;stacjonarny;10;83.09;13;Często psuje się terminal BLIK.;Nie
388;Bronze;2023-12-22;stacjonarny;2;32.57;17;Bardzo długie kolejki w piątek po 17:00.;Nie
389;Bronze;2023-10-16;q-commerce;4;33.89;-30;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
390;Bronze;2024-08-16;online;4;45.92;-10;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
391;Gold;2023-11-09;stacjonarny;19;197.16;12;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
392;Bronze;2022-03-15;stacjonarny;4;38.08;11;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
393;Bronze;2024-09-12;stacjonarny;2;55.27;0;Brak wegańskich opcji w mięsie roślinnym.;Nie
394;Bronze;2025-04-17;q-commerce;2;65.05;-20;Bardzo długie kolejki w piątek po 17:00.;Tak
395;Bronze;2024-03-25;stacjonarny;3;43.46;-30;Aplikacja mobilna mało intuicyjna.;Tak
396;Bronze;2024-09-07;q-commerce;1;46.53;29;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
397;Bronze;2023-10-02;stacjonarny;0;37.76;-10;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
398;Gold;2023-03-23;online;21;165.4;56;Często psuje się terminal BLIK.;Nie
399;Bronze;2022-10-03;stacjonarny;4;63.78;33;Bardzo długie kolejki w piątek po 17:00.;Nie
400;Bronze;2023-03-07;stacjonarny;3;47.17;-20;Potrzeba więcej parkingu.;Tak
401;Bronze;2024-08-01;online;4;47.57;26;Brak wegańskich opcji w mięsie roślinnym.;Nie
402;Bronze;2024-03-09;stacjonarny;4;42.76;-10;Potrzeba więcej parkingu.;Tak
403;Bronze;2023-02-10;stacjonarny;0;58.13;23;;Nie
404;Silver;2023-07-28;stacjonarny;8;66.73;-11;Aplikacja mobilna mało intuicyjna.;Nie
405;Silver;2023-09-10;stacjonarny;10;77.51;-7;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
406;Bronze;2025-05-21;stacjonarny;2;41.8;0;Przeceny end-of-day super, ale rzadko widoczne.;Tak
407;Silver;2024-05-10;online;5;96.36;-4;Przeceny end-of-day super, ale rzadko widoczne.;Tak
408;Bronze;2023-10-10;online;2;37.16;27;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
409;Silver;2022-11-05;stacjonarny;6;69.79;17;Drożej niż w Lidlu, ale jakość fresh lepsza.;Tak
410;Silver;2023-08-13;online;9;85.21;-41;Brak wegańskich opcji w mięsie roślinnym.;Nie
411;Silver;2024-12-27;online;8;59.93;-38;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
412;Silver;2022-06-15;online;7;74.24;36;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
413;Bronze;2022-07-28;stacjonarny;3;48.49;10;Aplikacja mobilna mało intuicyjna.;Nie
414;Bronze;2023-03-11;stacjonarny;2;52.65;50;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
415;Bronze;2023-08-04;stacjonarny;3;41.41;3;Przeceny end-of-day super, ale rzadko widoczne.;Nie
416;Bronze;2023-07-22;q-commerce;3;44.02;4;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
417;Silver;2022-04-15;stacjonarny;9;98.09;33;Świeże pieczywo tylko do 14:00, potem nic.;Nie
418;Silver;2022-12-18;stacjonarny;5;110.94;38;Świeże pieczywo tylko do 14:00, potem nic.;Nie
419;Silver;2024-09-22;stacjonarny;5;104.18;17;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
420;Bronze;2023-01-27;online;1;70.0;53;;Tak
421;Bronze;2023-06-07;online;1;50.94;-14;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
422;Silver;2022-10-28;stacjonarny;10;108.92;-13;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
423;Bronze;2023-09-12;online;0;38.45;27;;Tak
424;Bronze;2025-09-15;online;2;43.81;-2;Bardzo długie kolejki w piątek po 17:00.;Nie
425;Silver;2024-12-15;stacjonarny;8;94.55;62;Przeceny end-of-day super, ale rzadko widoczne.;Nie
426;Bronze;2024-01-25;stacjonarny;0;56.28;69;Drożej niż w Lidlu, ale jakość fresh lepsza.;Tak
427;Bronze;2022-09-16;q-commerce;2;91.96;10;;Nie
428;Silver;2023-01-04;stacjonarny;10;77.83;9;Kierowca Q-com pomylił adres.;Nie
429;Silver;2024-01-06;online;9;70.56;34;Przeceny end-of-day super, ale rzadko widoczne.;Nie
430;Bronze;2025-11-06;stacjonarny;2;19.19;-30;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
431;Bronze;2022-12-06;stacjonarny;4;55.65;69;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Tak
432;Bronze;2022-04-09;stacjonarny;3;24.77;36;Przeceny end-of-day super, ale rzadko widoczne.;Tak
433;Silver;2025-12-01;online;9;75.58;34;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
434;Bronze;2024-10-11;stacjonarny;1;55.1;-20;Aplikacja mobilna mało intuicyjna.;Tak
435;Bronze;2024-06-10;stacjonarny;4;42.11;27;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
436;Silver;2024-07-01;online;10;68.94;52;Świeże pieczywo tylko do 14:00, potem nic.;Tak
437;Bronze;2024-09-17;stacjonarny;1;70.13;48;Świetna jakość mięsa, ale wieczorem często brakuje.;Tak
438;Bronze;2024-11-09;stacjonarny;2;37.95;7;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Tak
439;Silver;2022-10-24;q-commerce;5;88.4;67;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
440;Bronze;2025-11-26;stacjonarny;1;40.59;61;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
441;Gold;2023-10-08;q-commerce;10;65.68;11;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
442;Gold;2024-11-21;stacjonarny;12;167.71;24;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
443;Gold;2022-06-10;stacjonarny;24;168.17;16;Świeże pieczywo tylko do 14:00, potem nic.;Nie
444;Bronze;2023-05-28;stacjonarny;1;39.66;-12;Potrzeba więcej parkingu.;Nie
445;Silver;2023-01-01;q-commerce;8;67.3;-9;;Tak
446;Bronze;2025-08-25;stacjonarny;2;48.85;-30;;Nie
447;Bronze;2022-10-04;q-commerce;3;67.16;-10;Bardzo długie kolejki w piątek po 17:00.;Nie
448;Bronze;2022-09-15;stacjonarny;0;53.57;2;Lubię markę PLON, ekonomicznie i jakościowo.;Tak
449;Bronze;2023-05-05;q-commerce;2;63.43;-10;Często psuje się terminal BLIK.;Nie
450;Gold;2022-01-09;stacjonarny;17;118.98;13;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Nie
451;Silver;2023-11-05;online;6;80.09;34;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
452;Gold;2022-05-27;q-commerce;16;126.91;6;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Nie
453;Gold;2023-03-06;stacjonarny;17;190.6;57;Brak wegańskich opcji w mięsie roślinnym.;Nie
454;Bronze;2023-05-23;stacjonarny;1;36.31;-10;Brak wegańskich opcji w mięsie roślinnym.;Tak
455;Bronze;2024-01-12;stacjonarny;1;38.43;-4;Często psuje się terminal BLIK.;Nie
456;Gold;2025-07-18;stacjonarny;11;167.76;7;Bardzo długie kolejki w piątek po 17:00.;Nie
457;Bronze;2023-06-10;stacjonarny;4;50.9;17;Aplikacja mobilna mało intuicyjna.;Nie
458;Bronze;2024-06-15;stacjonarny;4;41.28;-30;;Nie
459;Gold;2025-11-04;stacjonarny;19;203.79;27;Świeże pieczywo tylko do 14:00, potem nic.;Nie
460;Bronze;2025-03-02;online;1;36.85;-1;Często psuje się terminal BLIK.;Nie
461;Bronze;2024-10-22;stacjonarny;4;48.61;-10;Bardzo długie kolejki w piątek po 17:00.;Tak
462;Silver;2023-11-17;stacjonarny;8;88.65;46;;Nie
463;Bronze;2024-05-24;online;2;24.46;36;Drożej niż w Lidlu, ale jakość fresh lepsza.;Tak
464;Silver;2023-12-20;q-commerce;7;81.62;-28;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
465;Bronze;2023-11-15;stacjonarny;4;35.66;5;Q-commerce w Warszawie super, w innych miastach dłuższy czas.;Nie
466;Silver;2024-05-25;stacjonarny;7;60.57;57;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
467;Silver;2022-12-12;online;8;88.1;44;Bardzo długie kolejki w piątek po 17:00.;Nie
468;Silver;2024-09-14;stacjonarny;7;51.93;0;Drożej niż w Lidlu, ale jakość fresh lepsza.;Nie
469;Silver;2025-06-14;stacjonarny;6;85.12;-22;;Nie
470;Gold;2025-11-02;online;13;195.0;37;Przeceny end-of-day super, ale rzadko widoczne.;Nie
471;Bronze;2024-03-08;q-commerce;2;52.16;18;Aplikacja mobilna mało intuicyjna.;Tak
472;Bronze;2024-09-19;stacjonarny;4;41.1;-10;Brak wegańskich opcji w mięsie roślinnym.;Tak
473;Bronze;2025-11-12;online;4;40.77;14;;Nie
474;Bronze;2023-12-06;stacjonarny;3;24.7;-20;Lubię markę PLON, ekonomicznie i jakościowo.;Tak
475;Bronze;2023-01-05;stacjonarny;1;49.52;74;Świeże pieczywo tylko do 14:00, potem nic.;Nie
476;Gold;2022-06-23;stacjonarny;15;177.49;-23;Aplikacja mobilna mało intuicyjna.;Nie
477;Bronze;2025-07-04;stacjonarny;4;33.88;-20;Promocje są dobre, ale potem braki na półce.;Tak
478;Silver;2024-10-14;stacjonarny;7;95.76;26;Promocje są dobre, ale potem braki na półce.;Tak
479;Bronze;2025-04-19;stacjonarny;0;40.85;20;W sezonie urlopowym sklep świeci pustkami — gdzie mleko?;Tak
480;Bronze;2022-10-14;online;4;34.39;8;Plonka — kupony często nieadekwatne do moich zakupów.;Tak
481;Gold;2025-10-18;stacjonarny;26;137.74;-8;Aplikacja mobilna mało intuicyjna.;Nie
482;Bronze;2023-07-10;stacjonarny;2;35.24;25;Potrzeba więcej parkingu.;Tak
483;Bronze;2024-03-08;stacjonarny;4;45.37;-30;Promocje są dobre, ale potem braki na półce.;Nie
484;Bronze;2024-06-28;stacjonarny;4;15.0;4;Brak wegańskich opcji w mięsie roślinnym.;Nie
485;Bronze;2024-04-02;q-commerce;2;59.88;0;Przeceny end-of-day super, ale rzadko widoczne.;Nie
486;Gold;2023-05-05;q-commerce;20;206.98;28;Plonka — kupony często nieadekwatne do moich zakupów.;Nie
487;Silver;2022-07-06;online;8;57.62;41;OOS na truskawkach w sezonie — trzeci raz pod rząd.;Nie
488;Bronze;2022-07-17;stacjonarny;2;48.74;-9;Świetna jakość mięsa, ale wieczorem często brakuje.;Tak
489;Bronze;2023-03-19;online;4;35.79;29;;Tak
490;Bronze;2025-11-25;stacjonarny;2;40.23;24;;Nie
491;Bronze;2025-12-10;stacjonarny;3;34.89;52;;Nie
492;Silver;2024-11-09;online;9;78.03;-39;Świetna jakość mięsa, ale wieczorem często brakuje.;Nie
493;Bronze;2023-07-25;stacjonarny;0;50.37;10;Drożej niż w Lidlu, ale jakość fresh lepsza.;Tak
494;Silver;2024-04-02;stacjonarny;10;89.5;10;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
495;Bronze;2025-09-20;stacjonarny;3;15.0;28;;Tak
496;Silver;2023-05-28;stacjonarny;7;137.14;-20;Lubię markę PLON, ekonomicznie i jakościowo.;Nie
497;Bronze;2025-08-17;stacjonarny;4;46.38;-10;Sklep czysty i obsługa miła, brakuje samoobsługowych kas.;Tak
498;Bronze;2022-11-17;stacjonarny;0;15.44;-11;Aplikacja mobilna mało intuicyjna.;Tak
499;Gold;2023-08-14;stacjonarny;17;215.84;34;Przeceny end-of-day super, ale rzadko widoczne.;Nie
500;Bronze;2022-06-25;stacjonarny;4;35.42;81;Aplikacja mobilna mało intuicyjna.;Nie
